English,Spanish
Students for whom English is a second language must demonstrate a level of language proficiency appropriate for study.,Los estudiantes para quienes el inglés es un segundo idioma deben demostrar un nivel de dominio del idioma apropiado para el estudio.
International students are a vital part of our community at the ISM.,Los estudiantes internacionales son una parte vital de nuestra comunidad en el ISM.
The following are some of the opportunities which are available,Las siguientes son algunas de las oportunidades que están disponibles
The YYAS 2023 application is now closed,La aplicación YYAS 2023 ya está cerrada
"Participants will enhance their academic skills, receive guidance on university admissions and career path options, and join a network of young leaders from across Africa. ","Los participantes mejorarán sus habilidades académicas, recibirán orientación sobre admisiones universitarias y opciones de trayectoria profesional, y se unirán a una red de jóvenes líderes de toda África."
All relevant program information will be communicated directly to admitted participants. ,Toda la información relevante del programa se comunicará directamente a los participantes admitidos.
Yale also offers a small number of academic exchange programs with universities around the world.,Yale también ofrece una pequeña cantidad de programas de intercambio académico con universidades de todo el mundo.
Coursera’s platform differs from earlier open education initiative such as Open Yale Courses in several significant respects.,"
La plataforma de Coursera difiere de la iniciativa de educación abierta anterior, como Open Yale Courses, en varios aspectos significativos."
Yale UCL Collaborative Student Exchange Programme,Programa colaborativo de intercambio de estudiantes de la UCL de Yale
"Exchanges will normally be for a period of three months, but other periods specifically agreed to by student and proposed Supervisor may be considered.","Los intercambios normalmente serán por un período de tres meses, pero se pueden considerar otros períodos acordados específicamente por el estudiante y el supervisor propuesto."
Learn from current students about studying and community at the ISM. ,"
Aprenda de los estudiantes actuales sobre el estudio y la comunidad en el ISM."
Tuition and Fees,Matrícula y cuotas
Full-tuition scholarships are available to ISM students. ,Las becas de matrícula completa están disponibles para los estudiantes de ISM.
Welcome to Yale University’s Student Accounts website,"
Bienvenido al sitio web de cuentas de estudiantes de la Universidad de Yale"
Summer Fee Assessment will begin at the end of March.  Students will begin to receive notification of charges on April 1st.,La evaluación de la tarifa de verano comenzará a fines de marzo. Los estudiantes comenzarán a recibir notificación de los cargos el 1 de abril.
Further information is available from the Financial Aid Office.,Más información está disponible en la Oficina de Ayuda Financiera.
Frequently Asked Questions,Preguntas frecuentes
"The Institute of Sacred Music is an interdisciplinary graduate center dedicated to the study and practice of sacred music, worship, and the arts.","El Instituto de Música Sacra es un centro de posgrado interdisciplinario dedicado al estudio y la práctica de la música sacra, el culto y las artes."
Divinity Program Admissions,Admisiones al programa Divinity
Applicants not admitted to the ISM will still be considered for admission to Yale Divinity School by the YDS Admissions Committee. ,Los solicitantes que no sean admitidos en el ISM aún serán considerados para la admisión a Yale Divinity School por el Comité de Admisiones de YDS.
"Students meet our faculty in the classroom, studio, rehearsal hall, and worship spaces, and while participating in study tours.","Los estudiantes conocen a nuestra facultad en el salón de clases, el estudio, la sala de ensayo y los espacios de adoración, y mientras participan en los viajes de estudio."
The School of Music and Divinity School participate in a number of joint-degree programs. Institute students interested in applying to such programs should consult the ISM director.,La Escuela de Música y la Escuela de Divinidad participan en una serie de programas de titulación conjunta. Los estudiantes del Instituto interesados ​​en aplicar a tales programas deben consultar al director de ISM.
There are varieties of ways for any Yale student to become involved in the work of the Institute of Sacred Music,"
Hay una variedad de formas para que cualquier estudiante de Yale se involucre en el trabajo del Instituto de Música Sacra."
The Jackson School of Global Affairs promotes education and scholarship on global affairs at Yale.,La Escuela Jackson de Asuntos Globales promueve la educación y la erudición sobre asuntos globales en Yale.
International students are a vital part of Yale Divinity School’s vibrant campus culture. ,"
Los estudiantes internacionales son una parte vital de la vibrante cultura del campus de Yale Divinity School."
Useful financial information for international student applicants.,Información financiera útil para los solicitantes de estudiantes internacionales.
"
Information for applying to Yale Divinity School online for both international and domestic students. ",Información para postularse a Yale Divinity School en línea para estudiantes internacionales y nacionales.
The YDS admissions application is an online process and all applications are submitted through the YDS Admissions Office. ,La solicitud de admisión de YDS es un proceso en línea y todas las solicitudes se envían a través de la Oficina de Admisiones de YDS.
"Yale Law School is a truly global community, both in the breadth of available opportunities and in the composition of our student body. ","La Facultad de Derecho de Yale es una comunidad verdaderamente global, tanto en la amplitud de las oportunidades disponibles como en la composición de nuestro alumnado."
"Yale University hosts more than 3,500 international students and scholars representing more than 100 countries.",La Universidad de Yale alberga a más de 3500 estudiantes y académicos internacionales que representan a más de 100 países.
Transfer applications must be accompanied by a non-refundable $85 application fee.,Las solicitudes de transferencia deben ir acompañadas de una tarifa de solicitud no reembolsable de $85.
"Additionally, we will automatically waive our transfer application fee for individuals who were offered a place on our waitlist in a prior admission cycle.","Además, eximiremos automáticamente de nuestra tarifa de solicitud de transferencia a las personas a las que se les ofreció un lugar en nuestra lista de espera en un ciclo de admisión anterior."
Applications will be considered only from applicants enrolled at U.S. law schools approved by the American Bar Association.,Solo se considerarán las solicitudes de los solicitantes inscritos en facultades de derecho de los EE. UU. aprobadas por la Asociación de Abogados de los Estados Unidos.
"Participation in any journal at Yale Law School, including the Yale Law Journal, is in no way required, nor is it necessary for success","
La participación en cualquier revista de la Facultad de Derecho de Yale, incluida la Revista de Derecho de Yale, no se requiere de ninguna manera, ni es necesaria para el éxito."
The Admissions Committee considers past academic performance as well as special circumstances when reviewing applications,"
El Comité de Admisiones considera el rendimiento académico pasado, así como las circunstancias especiales al revisar las solicitudes."
Yale is proud of the rich diversity of its student body and seeks to attract the most compelling secondary school students from around the world. ,Yale se enorgullece de la rica diversidad de su cuerpo estudiantil y busca atraer a los estudiantes de secundaria más atractivos de todo el mundo.
Yale College Undergraduate Admissions,Admisiones de pregrado de Yale College
Today’s debates about economic policy often center on national prosperity,Los debates actuales sobre política económica a menudo se centran en la prosperidad nacional
A stimulus bill will jumpstart the nation’s economy,Un proyecto de ley de estímulo impulsará la economía de la nación
Infrastructure investments will boost the gross domestic product. Tax cuts will spur economic growth.,Las inversiones en infraestructura impulsarán el producto interno bruto. Los recortes de impuestos estimularán el crecimiento económico.
"In universities, economics was thought to be beneath the notice of philosophers and serious scholars","En las universidades, se pensaba que la economía estaba por debajo de la atención de los filósofos y académicos serios."
There were no economics departments and no real concept of “the economy” as a distinct system,"No había departamentos de economía ni un concepto real de ""la economía"" como un sistema distinto"
Most of the people who were writing seriously about economics were Christian scholars and theologians,La mayoría de las personas que escribían seriamente sobre economía eran eruditos y teólogos cristianos
They were very concerned with the impact of economic behavior on the human soul.,Estaban muy preocupados por el impacto del comportamiento económico en el alma humana.
He weaved a moral perspective into what had become a very empirical literature in a way that I find amazing.,Entrelazó una perspectiva moral en lo que se había convertido en una literatura muy empírica de una manera que me parece asombrosa.
He was deeply opposed to slavery and very concerned about the way that monopolies can take advantage of the population,Se oponía profundamente a la esclavitud y estaba muy preocupado por la forma en que los monopolios pueden aprovecharse de la población.
"the Yale sociologist examines this revolution in economic thinking, focusing on the years between 1570 and 1720.","el sociólogo de Yale examina esta revolución en el pensamiento económico, centrándose en los años entre 1570 y 1720."
"The informal law student exchange that Yale Law School maintains with seven leading law schools in Argentina, Brazil, and Chile","El intercambio informal de estudiantes de derecho que la Facultad de Derecho de Yale mantiene con siete facultades de derecho líderes en Argentina, Brasil y Chile"
They will also live with law students and spend their days learning about the relationship between legal education and practice in their host country,También vivirán con estudiantes de derecho y pasarán sus días aprendiendo sobre la relación entre la educación legal y la práctica en su país anfitrión.
"The Yale Law School's institutional partners in Chile are the Universidad de Chile and Universidad Diego Portales in Santiago, Chile",Los socios institucionales de la Facultad de Derecho de Yale en Chile son la Universidad de Chile y la Universidad Diego Portales en Santiago de Chile.
Students enrolled in the Law School are invited to apply.,Los estudiantes matriculados en la Facultad de Derecho están invitados a postularse.
"The country is coming off of an historical constitutional reform process, the first of its kind in the world","El país viene de un histórico proceso de reforma constitucional, el primero de su tipo en el mundo"
"Applicants must also have their proficiency in Spanish assessed by Brad Hayes, Coordinator of International Programs","Los solicitantes también deben tener su dominio del español evaluado por Brad Hayes, Coordinador de Programas Internacionales."
YLS students in the Brazil program divide their time between São Paulo and Rio de Janeiro,Los estudiantes de YLS en el programa de Brasil dividen su tiempo entre São Paulo y Río de Janeiro
They have also traveled to Brasilia to observe Supreme Court hearings and meet with government officials there,También viajaron a Brasilia para observar las audiencias de la Corte Suprema y reunirse con funcionarios del gobierno allí.
The travel and living expenses of participants are covered by the Yale Law School.,Los gastos de viaje y manutención de los participantes están cubiertos por la Facultad de Derecho de Yale.
"The application consists of a current resume, a law school transcript, and a brief statement of interest","La solicitud consta de un currículum actual, un expediente académico de la facultad de derecho y una breve declaración de interés."
Applicants must also have their proficiency in Portuguese assessed by Brad Hayes,Los solicitantes también deben tener su competencia en portugués evaluada por Brad Hayes
Groups of Yale Law students have traveled to Argentina since the early 1990s to work on a wide variety of projects,Grupos de estudiantes de Derecho de Yale han viajado a Argentina desde principios de la década de 1990 para trabajar en una amplia variedad de proyectos.
The precise dates will be determined by the participants' collective exam schedule and summer job dates,Las fechas precisas estarán determinadas por el calendario de exámenes colectivos de los participantes y las fechas de trabajo de verano.
Travel and living expenses are covered by the Yale Law School,Los gastos de viaje y manutención están cubiertos por la Facultad de Derecho de Yale.
The participants live with local families or university students and often combine the exchange with internships in the region.,"Los participantes viven con familias locales o estudiantes universitarios y, a menudo, combinan el intercambio con prácticas en la región."
Brazil come to New Haven for a three-week behind-the-scenes look at legal education à la Yale,Brasil viene a New Haven para una mirada tras bambalinas de tres semanas a la educación legal a la Yale
"While the South American participants spend most of their time observing classes, they also meet with professors","Si bien los participantes sudamericanos pasan la mayor parte de su tiempo observando clases, también se reúnen con profesores"
"At the end of the program, the group travels to New York to observe hearings at the Second District Federal Court of Appeals,","Al final del programa, el grupo viaja a Nueva York para observar audiencias en la Corte Federal de Apelaciones del Segundo Distrito"
"a relatively small, private university with deep ties to Yale Law School that date back to Argentina's transition to democracy under President Raúl Alfonsín",una universidad privada relativamente pequeña con vínculos profundos con la Facultad de Derecho de Yale que se remonta a la transición argentina a la democracia bajo el presidente Raúl Alfonsín
"the conception and implementation of graduate seminars and degree programs, and conducting research for NGOs involved with human rights, among others.","la concepción e implementación de seminarios de posgrado y programas de grado, y la realización de investigaciones para ONG involucradas con los derechos humanos, entre otros."
"This section includes information for prospective applicants, who are thinking about or beginning the application process, as well as for accepted students who are planning for their experience at Yale. ","Esta sección incluye información para los posibles solicitantes, que están considerando o comenzando el proceso de solicitud, así como para los estudiantes aceptados que están planificando su experiencia en Yale."
"This multidisciplinary education, with some of the best faculty and students in the world, taught me to expand my horizons and helped me discover new ways to improve society.","Esta educación multidisciplinaria, con algunos de los mejores profesores y estudiantes del mundo, me enseñó a ampliar mis horizontes y me ayudó a descubrir nuevas formas de mejorar la sociedad."
Eligibility criteria are determined in partnership with each home institution.,Los criterios de elegibilidad se determinan en colaboración con cada institución de origen.
The Yale Visiting International Students Program invites students from Y-VISP partner institutions to study at Yale University,El Programa de Estudiantes Internacionales Visitantes de Yale invita a los estudiantes de las instituciones asociadas de Y-VISP a estudiar en la Universidad de Yale
Find information about our graduate and professional schools here.,Encuentre información sobre nuestras escuelas de posgrado y profesionales aquí.
Yale has met or exceeded all of its goals as part of President Barack Obama and First Lady Michelle Obama’s Call to Action on College Opportunity.,Yale ha cumplido o superado todos sus objetivos como parte del Llamado a la acción sobre oportunidades universitarias del presidente Barack Obama y la primera dama Michelle Obama.
School of Art,escuela de arte
The Yale School of Art has a long and distinguished history of training artists of the highest caliber.,"
La Escuela de Arte de Yale tiene una larga y distinguida historia de formación de artistas del más alto calibre."
David Geffen School of Drama,Escuela de teatro David Geffen
"The David Geffen School of Drama graduates have raised the standards of professional practice around the world in every theatrical discipline, creating bold art that engages the mind and delights the senses.","Los graduados de la Escuela de Teatro David Geffen han elevado los estándares de la práctica profesional en todo el mundo en todas las disciplinas teatrales, creando arte audaz que involucra la mente y deleita los sentidos."
Jackson School of Global Affairs,Escuela Jackson de Asuntos Globales
"The Jackson School of Global Affairs trains and equips a new generation of leaders to devise thoughtful, evidence-based solutions for challenging global problems.",La Escuela Jackson de Asuntos Globales entrena y equipa a una nueva generación de líderes para idear soluciones reflexivas basadas en evidencia para problemas globales desafiantes.
"We serve the entire university through courses and core teaching programs in global affairs, career counseling, and public lectures.","Servimos a toda la universidad a través de cursos y programas básicos de enseñanza en asuntos globales, orientación profesional y conferencias públicas."
"Our academic programs are interdisciplinary, embedded in Yale and designed to help students gain a comprehensive understanding of global affairs.","Nuestros programas académicos son interdisciplinarios, están integrados en Yale y están diseñados para ayudar a los estudiantes a obtener una comprensión integral de los asuntos globales."
"The Jackson School’s M.P.P. in Global Affairs prepares students to impact the global community through an academically rigorous, yet flexible interdisciplinary program.",El M.P.P. de la Escuela Jackson en Asuntos Globales prepara a los estudiantes para impactar a la comunidad global a través de un programa interdisciplinario académicamente riguroso pero flexible.
Heather K. Gerken is Dean and Sol & Lillian Goldman Professor of Law at Yale Law School. Tamara F. Lawson is the Toni Rembe Dean and Professor of Law at the University of Washington School of Law,Heather K. Gerken es Decana y Profesora de Derecho Sol & Lillian Goldman en la Facultad de Derecho de Yale. Tamara F. Lawson es decana de Toni Rembe y profesora de derecho en la Facultad de derecho de la Universidad de Washington
Explore Areas of Interest,Explora áreas de interés
"Yale School of Medicine graduates go on to become leaders in academic medicine and health care, and innovators in clinical practice, biotechnology, and public policy.","
Los graduados de la Facultad de Medicina de Yale se convierten en líderes académicos en medicina y atención de la salud, e innovadores en la práctica clínica, la biotecnología y las políticas públicas."
The Yale School of Music is an international leader in educating the creative musicians and cultural leaders of tomorrow.,"
La Escuela de Música de Yale es líder internacional en la formación de músicos creativos y líderes culturales del mañana."
The School of Public Health supports research and innovative programs that protect and improve the health of people around the globe.,La Escuela de Salud Pública apoya la investigación y los programas innovadores que protegen y mejoran la salud de las personas en todo el mundo.
The application deadline for the 2023 World Fellows Program has passed.,La fecha límite de solicitud para el Programa World Fellows 2023 ha vencido.
Click below to be notified when the 2024 application is available.,Haga clic a continuación para recibir una notificación cuando la aplicación 2024 esté disponible.
	World Fellows are required to be in residence at Yale University in New Haven for the entirety of the program which runs from mid-August through mid-December.,"Se requiere que los World Fellows residan en la Universidad de Yale en New Haven durante la totalidad del programa, que se extiende desde mediados de agosto hasta mediados de diciembre."
There is no application fee or other cost to apply.,No hay cuota de solicitud u otro costo para aplicar.
Yale is committed to being financially accessible to students from all backgrounds and from around the world.,Yale se compromete a ser financieramente accesible para estudiantes de todos los orígenes y de todo el mundo.
Graduate & Professional,"Graduada y Profesional(
"
You don’t have to be a Yale student to have access to a Yale education.,"
No es necesario ser estudiante de Yale para tener acceso a la educación de Yale."
The following schools offer non-degree programs ranging from research opportunities to continuing education.,Las siguientes escuelas ofrecen programas sin título que van desde oportunidades de investigación hasta educación continua.
The World Fellows program is not currently accepting applications.,"Actualmente, el programa World Fellows no acepta solicitudes."
"Not surprisingly, admission to the World Fellows program is highly competitive.",No es sorprendente que la admisión al programa World Fellows sea altamente competitiva.
Yale University’s Nondiscrimination/Title IX Statements,Declaraciones de no discriminación/Título IX de la Universidad de Yale
"University policy is committed to affirmative action under law in employment of women, minority group members, individuals with disabilities, and protected veterans.","
La política de la universidad está comprometida con la acción afirmativa conforme a la ley en el empleo de mujeres, miembros de grupos minoritarios, personas con discapacidades y veteranos protegidos."
Connect With Us,Conéctate con nosotros
We're glad you're interested in submitting an application to Yale Summer Session.,Nos complace que esté interesado en presentar una solicitud para la sesión de verano de Yale.
Please use the links below to find the information you'll need to apply.,"
Utilice los enlaces a continuación para encontrar la información que necesitará para presentar su solicitud."
2023 Student Handbook,"
Manual del estudiante 2023"
View and Download,Ver y descargar
